Model,MDO3024
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-05,,
Horizontal Delay,4e-05,,
Sample Interval,1e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,1,10
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.2,0.02,2
Vertical Position,0,0,0
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-3.610000e-06,0.032,0,0.8
-3.600000e-06,0.032,0,0.8
-3.590000e-06,0.032,-0.0008,0.72
-3.580000e-06,0.032,0,0.72
-3.570000e-06,0.032,0,0.72
-3.560000e-06,0.032,0,0.72
-3.550000e-06,0.032,-0.0008,0.72
-3.540000e-06,0.024,0,0.8
-3.530000e-06,0.024,0,0.72
-3.520000e-06,0.032,0,0.72
-3.510000e-06,0.024,0,0.8
-3.500000e-06,0.032,0,0.72
-3.490000e-06,0.024,0,0.72
-3.480000e-06,0.024,0,0.8
-3.470000e-06,0.032,0,0.8
-3.460000e-06,0.024,0,0.64
-3.450000e-06,0.032,0.0008,0.72
-3.440000e-06,0.032,0,0.8
-3.430000e-06,0.032,0,0.72
-3.420000e-06,0.032,0,0.8
-3.410000e-06,0.032,0,0.72
