Model,MDO3024
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-07
Horizontal Delay,0
Sample Interval,4e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0
,
,
,
Label,
TIME,CH1
-1.755600e-06,-0.0004
-1.755200e-06,-0.0004
-1.754800e-06,-0.0004
-1.754400e-06,-0.0004
-1.754000e-06,-0.0004
-1.753600e-06,-0.0004
-1.753200e-06,-0.0008
-1.752800e-06,-0.0004
-1.752400e-06,-0.0004
-1.752000e-06,-0.0004
-1.751600e-06,-0.0004
-1.751200e-06,-0.0004
-1.750800e-06,-0.0004
-1.750400e-06,-0.0004
-1.750000e-06,-0.0004
-1.749600e-06,-0.0004
-1.749200e-06,-0.0008
-1.748800e-06,-0.0004
-1.748400e-06,-0.0008
-1.748000e-06,-0.0004
-1.747600e-06,-0.0004
-1.747200e-06,-0.0004
-1.746800e-06,-0.0004
-1.746400e-06,-0.0004
-1.746000e-06,-0.0004
-1.745600e-06,-0.0008
-1.745200e-06,-0.0004
-1.744800e-06,-0.0004
-1.744400e-06,-0.0004
-1.744000e-06,-0.0004
-1.743600e-06,-0.0004
-1.743200e-06,-0.0008
-1.742800e-06,-0.0004
-1.742400e-06,-0.0004
-1.742000e-06,-0.0004
-1.741600e-06,-0.0004
-1.741200e-06,-0.0004
-1.740800e-06,-0.0004
-1.740400e-06,-0.0004
-1.740000e-06,-0.0004
-1.739600e-06,-0.0004
-1.739200e-06,-0.0004
-1.738800e-06,-0.0004
-1.738400e-06,-0.0004
-1.738000e-06,-0.0004
-1.737600e-06,-0.0004
-1.737200e-06,-0.0004
-1.736800e-06,-0.0008
-1.736400e-06,-0.0004
-1.736000e-06,-0.0004
-1.735600e-06,-0.0004
-1.735200e-06,-0.0004
-1.734800e-06,-0.0004
-1.734400e-06,-0.0004
-1.734000e-06,-0.0004
-1.733600e-06,-0.0004
-1.733200e-06,-0.0004
-1.732800e-06,-0.0004
-1.732400e-06,-0.0004
-1.732000e-06,-0.0004
-1.731600e-06,-0.0004
-1.731200e-06,-0.0004
-1.730800e-06,-0.0004
-1.730400e-06,-0.0004
-1.730000e-06,0
-1.729600e-06,-0.0004
-1.729200e-06,0
-1.728800e-06,-0.0004
-1.728400e-06,-0.0004
-1.728000e-06,-0.0004
-1.727600e-06,-0.0004
-1.727200e-06,-0.0004
-1.726800e-06,0
-1.726400e-06,-0.0004
-1.726000e-06,-0.0004
-1.725600e-06,-0.0004
-1.725200e-06,-0.0004
-1.724800e-06,-0.0004
-1.724400e-06,-0.0004
-1.724000e-06,-0.0004
-1.723600e-06,-0.0004
-1.723200e-06,-0.0004
-1.722800e-06,-0.0004
-1.722400e-06,-0.0004
-1.722000e-06,-0.0004
-1.721600e-06,-0.0004
-1.721200e-06,-0.0004
-1.720800e-06,-0.0004
-1.720400e-06,-0.0004
-1.720000e-06,-0.0004
-1.719600e-06,-0.0004
-1.719200e-06,-0.0004
-1.718800e-06,-0.0004
-1.718400e-06,-0.0004
-1.718000e-06,-0.0004
-1.717600e-06,0
-1.717200e-06,-0.0004
-1.716800e-06,-0.0004
-1.716400e-06,0
-1.716000e-06,-0.0004
-1.715600e-06,-0.0004
-1.715200e-06,-0.0004
-1.714800e-06,-0.0004
-1.714400e-06,-0.0004
-1.714000e-06,0
-1.713600e-06,0
-1.713200e-06,-0.0004
-1.712800e-06,-0.0004
-1.712400e-06,-0.0004
-1.712000e-06,-0.0008
-1.711600e-06,-0.0004
-1.711200e-06,-0.0004
-1.710800e-06,-0.0004
-1.710400e-06,-0.0008
-1.710000e-06,-0.0004
-1.709600e-06,-0.0004
-1.709200e-06,0
-1.708800e-06,-0.0004
-1.708400e-06,-0.0004
-1.708000e-06,-0.0004
-1.707600e-06,-0.0004
-1.707200e-06,-0.0004
-1.706800e-06,-0.0004
-1.706400e-06,-0.0004
-1.706000e-06,-0.0004
-1.705600e-06,-0.0004
-1.705200e-06,-0.0004
-1.704800e-06,-0.0004
-1.704400e-06,-0.0004
-1.704000e-06,-0.0004
-1.703600e-06,-0.0004
-1.703200e-06,-0.0004
-1.702800e-06,-0.0004
-1.702400e-06,-0.0004
-1.702000e-06,-0.0004
-1.701600e-06,-0.0004
-1.701200e-06,-0.0004
-1.700800e-06,-0.0008
-1.700400e-06,-0.0004
-1.700000e-06,0
-1.699600e-06,-0.0004
-1.699200e-06,-0.0004
-1.698800e-06,-0.0008
-1.698400e-06,-0.0004
-1.698000e-06,-0.0004
-1.697600e-06,-0.0004
-1.697200e-06,-0.0004
-1.696800e-06,-0.0004
-1.696400e-06,-0.0004
-1.696000e-06,-0.0004
-1.695600e-06,-0.0004
-1.695200e-06,0
-1.694800e-06,-0.0004
-1.694400e-06,-0.0004
-1.694000e-06,-0.0004
-1.693600e-06,-0.0008
-1.693200e-06,-0.0004
-1.692800e-06,-0.0004
-1.692400e-06,-0.0004
-1.692000e-06,-0.0004
-1.691600e-06,-0.0004
